,Place,Pollution Index,Exp Pollution Index,PM 2.5 (micro g/m3),Equivalent Cigarettes/day
7,"Ghaziabad, India",93.11,168.42,110.2,5.009090909090909
10,"Delhi, India",90.74,165.21,98.6,4.4818181818181815
9,"Noida, India",92.72,169.62,97.7,4.440909090909091
2,"Faridabad, India",94.74,171.47,85.0,3.8636363636363638
23,"Xinxiang, China",115.52,213.83,84.0,3.8181818181818183
8,"Dhaka, Bangladesh",92.77,167.42,83.3,3.786363636363636
5,"Ulaanbaatar, Mongolia",93.59,172.61,62.0,2.8181818181818183
24,"Xuzhou, China",81.55,156.38,60.0,2.727272727272727
3,"Kabul, Afghanistan",94.68,171.27,58.8,2.6727272727272724
0,"Kathmandu, Nepal",95.85,174.09,48.0,2.1818181818181817
15,"Chengdu, China",72.97,132.76,42.4,1.9272727272727272
11,"Beijing, China",84.91,151.94,42.1,1.9136363636363638
1,"Tetovo, North Macedonia",95.62,174.43,39.2,1.781818181818182
14,"Suzhou, China",73.26,135.95,37.7,1.7136363636363638
12,"Shanghai, China",77.4,138.1,35.4,1.6090909090909091
4,"Accra, Ghana",93.65,169.11,30.3,1.3772727272727272
6,"Beirut, Lebanon",93.58,168.43,30.3,1.3772727272727272
13,"Guangzhou, China",74.42,131.48,28.9,1.3136363636363635
16,"Rio de Janeiro, Brazil",67.47,118.76,28.2,1.2818181818181817
19,"Tokyo, Japan",43.27,70.72,11.7,0.5318181818181817
21,"Prague, Czech Republic",34.98,60.07,11.5,0.5227272727272727
17,"London, United Kingdom",58.86,105.64,11.4,0.5181818181818182
22,"Sydney, Australia",26.86,43.1,10.1,0.45909090909090905
20,"Berlin, Germany",39.41,65.98,9.7,0.44090909090909086
18,"New York, NY, United States",57.58,100.88,7.0,0.3181818181818182
